selling_price,km_driven,fuel,seller_type,transmission,owner,seats,torque_rpm,mil_kmpl,engine_cc,max_power_new,No_of_years
5800000,7500,Diesel,Dealer,Automatic,First Owner,5.0,2500,16.78,1995.0,190.0,4
1864999,50000,Petrol,Dealer,Automatic,First Owner,5.0,5000,14.67,1798.0,177.46,5
2700000,35000,Diesel,Dealer,Automatic,First Owner,5.0,1800,15.0,2143.0,204.0,7
1750000,19000,Petrol,Dealer,Automatic,First Owner,5.0,3600,13.96,1451.0,141.0,4
795000,41000,Petrol,Dealer,Automatic,First Owner,5.0,4600,18.0,1497.0,117.6,6
625000,39000,Petrol,Dealer,Automatic,First Owner,5.0,4000,14.28,1798.0,138.03,10
3400000,22000,Diesel,Dealer,Automatic,First Owner,5.0,400,18.0,1969.0,190.0,5
2650000,53000,Diesel,Dealer,Automatic,First Owner,7.0,2750,12.07,2967.0,241.4,8
535000,40000,Diesel,Dealer,Manual,First Owner,5.0,1750,26.21,1248.0,88.5,8
5850000,47000,Diesel,Dealer,Automatic,First Owner,5.0,1600,13.5,2987.0,282.0,6
975000,72200,Petrol,Dealer,Automatic,Second Owner,5.0,2750,10.8,2497.0,150.0,13
805000,49900,Petrol,Dealer,Manual,First Owner,5.0,4700,16.3,1797.0,147.5,7
2625000,9000,Diesel,Dealer,Automatic,First Owner,5.0,2500,13.6,1999.0,177.0,6
811000,11000,Petrol,Dealer,Manual,First Owner,5.0,4000,17.0,1198.0,108.5,5
375000,49000,Petrol,Individual,Manual,First Owner,5.0,3800,15.04,1598.0,103.6,12
550000,95000,Petrol,Individual,Manual,First Owner,5.0,4700,16.3,1797.0,147.5,11
645000,11000,Petrol,Dealer,Automatic,First Owner,5.0,3800,14.3,1598.0,103.5,7
2550000,18000,Petrol,Dealer,Automatic,First Owner,5.0,4000,15.04,1991.0,183.0,5
599000,46100,Petrol,Dealer,Manual,First Owner,7.0,4000,16.02,1373.0,93.7,9
2700000,16000,Petrol,Dealer,Automatic,First Owner,5.0,1400,14.74,1991.0,181.04,6
875000,18000,Petrol,Dealer,Automatic,First Owner,5.0,4800,15.6,1497.0,116.3,6
894999,9654,Petrol,Dealer,Automatic,First Owner,5.0,4200,19.56,1197.0,81.8,4
175000,11000,Petrol,Dealer,Manual,First Owner,5.0,3500,23.95,998.0,67.05,12
340000,24300,Petrol,Dealer,Manual,First Owner,5.0,4200,21.21,1197.0,81.8,11
1525000,42163,Diesel,Dealer,Automatic,Second Owner,7.0,3400,11.36,2755.0,171.5,7
1025000,8000,Diesel,Dealer,Automatic,First Owner,5.0,2750,21.5,1497.0,108.5,5
2150000,30000,Diesel,Dealer,Automatic,First Owner,5.0,2500,22.69,1995.0,190.0,7
1900000,41000,Petrol,Dealer,Automatic,First Owner,5.0,4500,19.16,2494.0,157.7,7
2900000,12000,Diesel,Dealer,Automatic,First Owner,5.0,2500,18.12,1995.0,190.0,7
450000,71000,Petrol,Dealer,Automatic,First Owner,5.0,4000,12.1,2362.0,164.7,14
850000,20000,Petrol,Individual,Manual,First Owner,7.0,4000,17.5,1373.0,91.1,7
10000000,30000,Petrol,Individual,Automatic,First Owner,4.0,1740,42.0,1969.0,400.0,6
300000,100000,Diesel,Individual,Manual,Second Owner,5.0,2500,20.54,1598.0,103.6,12
575000,9500,Petrol,Individual,Manual,First Owner,5.0,4000,18.16,1196.0,86.8,5
160000,120000,Diesel,Individual,Manual,First Owner,5.0,2000,20.0,1399.0,68.0,12
515000,36600,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8,8
390000,50000,Petrol,Individual,Automatic,Second Owner,5.0,3500,20.51,998.0,67.0,8
550000,14000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,81.83,7
40000,40000,Petrol,Individual,Manual,Second Owner,4.0,2500,16.1,796.0,37.0,24
220000,120000,Diesel,Individual,Manual,First Owner,5.0,4500,21.1,1248.0,73.9,13
425000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0,8
480000,13000,Petrol,Individual,Manual,First Owner,5.0,4300,19.44,999.0,75.0,4
400000,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.9,1197.0,82.0,9
487000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,19.1,1197.0,85.8,9
386000,44000,Petrol,Individual,Manual,Second Owner,5.0,4000,19.1,1197.0,82.0,7
100000,120000,Petrol,Individual,Manual,Second Owner,5.0,4600,13.0,1493.0,100.0,18
300000,60000,Diesel,Individual,Manual,First Owner,5.0,2800,21.43,1364.0,87.2,13
100000,60000,Petrol,Individual,Manual,First Owner,5.0,3500,18.5,796.0,53.0,23
1750000,30000,Diesel,Individual,Manual,Second Owner,7.0,3400,13.0,2982.0,168.5,9
450000,15000,Petrol,Individual,Manual,Second Owner,6.0,3600,18.15,1198.0,82.0,7
490000,90000,Diesel,Individual,Manual,First Owner,5.0,3000,22.95,1248.0,74.0,6
345000,47000,Petrol,Individual,Manual,Second Owner,5.0,4800,17.0,1497.0,118.0,14
85000,90000,Petrol,Individual,Manual,First Owner,5.0,4500,17.3,993.0,60.0,18
215000,120600,Petrol,Individual,Manual,Second Owner,5.0,3500,18.9,998.0,67.1,13
320000,100000,Petrol,Individual,Manual,Third Owner,5.0,3000,16.2,1599.0,103.2,13
459999,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.85,1197.0,83.14,7
65000,86000,Petrol,Individual,Manual,First Owner,5.0,3200,15.3,1341.0,83.0,18
720000,5000,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.86,3
800000,37000,Diesel,Individual,Manual,First Owner,5.0,1750,28.09,1248.0,88.5,6
520000,14000,Petrol,Individual,Manual,First Owner,5.0,3500,20.3,1199.0,84.0,4
580000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,20.77,1248.0,88.76,8
600000,50000,Petrol,Individual,Manual,First Owner,5.0,4600,17.4,1497.0,117.3,8
290000,60000,Petrol,Individual,Manual,Second Owner,5.0,4500,19.4,1198.0,86.8,9
360000,50000,CNG,Individual,Manual,First Owner,5.0,3500,26.6,998.0,58.16,7
550000,50000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14,6
375000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,18.5,1197.0,82.85,10
420000,35000,Petrol,Individual,Automatic,First Owner,5.0,3500,20.51,998.0,67.0,5
550000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,21.21,1197.0,81.8,6
270000,20000,Petrol,Individual,Manual,First Owner,5.0,3500,24.7,796.0,47.3,5
700000,7800,Petrol,Individual,Automatic,First Owner,5.0,4200,22.0,1197.0,81.8,5
500000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8,6
1250000,15000,Diesel,Individual,Manual,First Owner,7.0,3000,17.6,2179.0,147.94,4
320000,31377,Petrol,Individual,Manual,Second Owner,5.0,4000,18.5,1197.0,82.85,10
700000,50000,Diesel,Individual,Manual,First Owner,5.0,2000,28.4,1248.0,74.02,5
290000,60000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04,8
550000,100000,Petrol,Individual,Automatic,First Owner,5.0,4000,14.53,1794.0,138.1,11
265000,60000,Petrol,Individual,Manual,First Owner,5.0,4500,19.4,1198.0,86.8,11
830000,5000,Petrol,Individual,Automatic,First Owner,5.0,4000,21.4,1197.0,83.1,5
800000,60000,Diesel,Individual,Manual,First Owner,7.0,3000,14.1,2179.0,147.94,6
160000,25000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3,12
335000,30000,Petrol,Individual,Manual,First Owner,5.0,4386,25.17,799.0,53.3,5
329000,80000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.63,1198.0,67.0,6
775000,75000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5,6
524000,32000,Petrol,Individual,Manual,First Owner,5.0,11375,20.14,1197.0,81.86,3
245000,40000,Petrol,Individual,Manual,First Owner,5.0,3500,22.74,796.0,47.3,8
275000,93000,Petrol,Individual,Manual,Second Owner,5.0,4000,17.0,1197.0,80.0,11
520000,60000,Petrol,Individual,Manual,First Owner,5.0,4000,17.57,1193.0,88.7,5
550000,37000,Petrol,Individual,Manual,First Owner,5.0,4000,16.95,1498.0,97.7,9
910000,15000,Petrol,Individual,Manual,First Owner,5.0,4500,17.0,1497.0,121.36,5
300000,80000,Petrol,Individual,Manual,First Owner,5.0,4000,19.49,1198.0,67.04,8
350000,140000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04,7
900000,70000,Diesel,Individual,Manual,First Owner,7.0,3250,12.83,2696.0,162.0,10
300000,120000,Diesel,Individual,Manual,Second Owner,7.0,2800,17.21,1493.0,100.0,10
250000,110000,Diesel,Individual,Manual,Second Owner,5.0,2000,21.1,1248.0,73.9,13
1100000,37000,Diesel,Individual,Manual,First Owner,5.0,2750,19.67,1582.0,126.2,6
270000,44000,Petrol,Individual,Manual,First Owner,5.0,4386,25.17,799.0,53.3,7
640000,80000,Diesel,Individual,Manual,First Owner,7.0,1750,20.77,1248.0,88.76,8
650000,125000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,140.0,8
409999,13500,Petrol,Individual,Manual,First Owner,5.0,3000,15.37,1196.0,73.0,6
165000,75000,Petrol,Individual,Manual,First Owner,5.0,3000,17.92,1086.0,62.1,12
80000,120000,Petrol,Individual,Manual,Second Owner,5.0,3500,13.2,1495.0,94.0,16
535000,120000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,140.0,11
700000,70000,Diesel,Individual,Manual,First Owner,7.0,3400,12.99,2494.0,100.57,10
550000,70000,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0,10
680000,15000,Petrol,Individual,Automatic,First Owner,5.0,4800,19.0,1199.0,88.76,4
200000,53000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.36,1197.0,78.9,14
500000,120000,Diesel,Individual,Manual,Second Owner,5.0,2000,23.4,1248.0,74.0,9
1000000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,24.52,1248.0,88.5,7
110000,120000,Petrol,Individual,Manual,Second Owner,5.0,3200,14.2,1341.0,82.9,15
320000,100000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.5,1197.0,80.0,11
350000,100000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,83.11,8
170000,162500,Diesel,Individual,Manual,First Owner,5.0,2500,19.4,1405.0,70.0,10
800000,39000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73,6
500000,75000,Diesel,Individual,Manual,First Owner,5.0,2000,26.8,1248.0,74.0,6
1380000,50000,Diesel,Individual,Automatic,First Owner,7.0,2500,17.6,2179.0,153.86,6
1300000,40000,Diesel,Individual,Manual,First Owner,8.0,2500,17.3,1497.0,121.0,4
530000,92500,Diesel,Individual,Manual,First Owner,5.0,2750,22.32,1582.0,126.3,10
360000,158000,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0,11
310000,120000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9,11
725000,50000,Diesel,Individual,Manual,Second Owner,5.0,1750,26.0,1498.0,98.6,8
340000,110000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9,11
550000,2000,Diesel,Individual,Manual,Second Owner,5.0,19025,25.4,1186.0,73.97,6
1150000,181000,Diesel,Individual,Manual,Second Owner,7.0,3400,11.5,2982.0,171.0,12
380000,70000,Diesel,Individual,Manual,First Owner,5.0,3000,27.28,1047.0,69.0,7
350000,90000,Petrol,Individual,Automatic,Second Owner,5.0,4000,17.97,1498.0,99.6,10
610000,2000,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.86,4
525000,20000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14,8
480000,120000,Diesel,Individual,Manual,First Owner,7.0,3400,12.8,2494.0,102.0,12
780000,35000,Diesel,Individual,Manual,First Owner,6.0,2000,16.55,2498.0,105.0,6
320000,193000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9,11
375000,80000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8,9
300000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,19.02,1198.0,67.05,4
500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,2750,22.54,1396.0,88.73,8
404000,122358,Diesel,Individual,Manual,First Owner,9.0,2800,12.05,2179.0,120.0,12
500000,75000,Diesel,Individual,Manual,First Owner,7.0,2200,14.07,2956.0,69.01,8
350000,120000,Diesel,Individual,Manual,First Owner,5.0,3000,27.28,1047.0,69.0,6
380000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,17.57,1193.0,88.7,8
114999,95200,Petrol,Individual,Manual,Third Owner,5.0,3500,13.2,1495.0,94.0,15
335000,33033,Petrol,Dealer,Manual,First Owner,5.0,4500,19.4,1198.0,86.8,9
465000,63063,Petrol,Dealer,Automatic,First Owner,5.0,4000,18.9,1197.0,82.0,8
290000,60000,Diesel,Individual,Manual,First Owner,5.0,3000,21.02,1248.0,88.76,11
110000,45000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3,18
450000,80000,Diesel,Individual,Manual,Third Owner,7.0,2700,11.57,2179.0,138.1,12
400000,170000,Diesel,Individual,Manual,Second Owner,7.0,1500,13.6,2523.0,63.0,14
210000,207890,Diesel,Individual,Manual,Second Owner,7.0,1500,13.6,2523.0,63.0,16
4600000,7976,Diesel,Individual,Automatic,First Owner,5.0,2800,17.9,2143.0,170.0,5
220000,35000,Petrol,Individual,Manual,First Owner,8.0,2500,16.8,796.0,34.2,7
450000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0,6
450000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0,6
290000,50000,Petrol,Individual,Automatic,First Owner,5.0,4000,16.95,1197.0,78.9,10
520000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8,7
265000,20000,Petrol,Individual,Automatic,First Owner,5.0,4000,16.95,1197.0,78.9,12
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,85.8,11
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,85.8,11
509999,120000,Diesel,Individual,Manual,First Owner,7.0,2200,15.96,2523.0,62.1,9
500000,70000,Petrol,Individual,Manual,First Owner,5.0,4200,17.1,1591.0,121.3,9
525000,50000,Petrol,Individual,Manual,First Owner,5.0,11473,17.19,1197.0,81.86,8
675000,16500,Petrol,Individual,Manual,First Owner,5.0,4200,21.01,1197.0,81.8,4
300000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,17.0,1197.0,80.0,13
90000,99361,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3,18
650000,25000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0,6
409000,70000,Petrol,Individual,Manual,Second Owner,5.0,4000,19.1,1197.0,85.8,9
395000,80000,Diesel,Individual,Manual,Second Owner,5.0,2750,24.0,1120.0,70.0,8
